OPEID,INSTName,State,StateNO,UGDs,SAT,PCTPELL,Salary,SalaryRate
00202500,Southern University and A & M College,LA,17,5666,890,0.6277,31600,0.48254424333572
00202600,Southern University at New Orleans,LA,17,1782,808,0.6273,29000,0.39247313141822
00203100,University of Louisiana at Lafayette,LA,17,14261,1070,0.3405,37900,0.60327196121215
00202900,Tulane University of Louisiana,LA,17,8290,1341,0.1617,52400,0.74919408559799
00203200,Xavier University of Louisiana,LA,17,2459,1048,0.5739,46500,0.62763160467147
00203800,Bowdoin College,ME,18,1789,1423,0.1376,54800,0.76279067993164
00630503,Central Maine Medical Center College of Nursing and Health Professions,ME,18,178,1010,0.4516,50500,0.83749997615814
00203900,Colby College,ME,18,1820,1343,0.1079,53000,0.69354838132858
00204300,Husson University,ME,18,2290,962,0.2796,37100,0.60377359390258
00204100,University of Maine at Fort Kent,ME,18,913,908,0.3216,31200,0.56370657682418
00205500,University of Maine at Machias,ME,18,596,937,0.4086,27000,0.40223464369773
00205300,University of Maine,ME,18,8619,1085,0.3718,38700,0.64310544729232
00204400,Maine Maritime Academy,ME,18,994,1026,0.288,74700,0.83385580778121
00205000,University of New England,ME,18,2179,1057,0.2279,44800,0.69470828771591
00205100,Saint Joseph's College of Maine,ME,18,1276,960,0.2435,37900,0.66976743936538
00205400,University of Southern Maine,ME,18,6079,1003,0.3636,36500,0.63079017400741
00205200,Thomas College,ME,18,846,895,0.3331,36600,0.56845235824584
00210200,University of Baltimore,MD,19,3479,940,0.4264,58000,0.824536383152
00206200,Bowie State University,MD,19,4313,886,0.4873,47000,0.66045546531677
00143600,Capitol College,MD,19,430,1042,0.356,58900,0.77235770225524
00206800,Coppin State University,MD,19,2880,880,0.5964,37600,0.61380797624588
00207200,Frostburg State University,MD,19,4575,963,0.35,43600,0.64349961280822
00207600,Hood College,MD,19,1347,1030,0.3424,43100,0.67543858289718
00207700,Johns Hopkins University,MD,19,5932,1418,0.1307,69200,0.85175663232803
00207800,Loyola University Maryland,MD,19,3972,1194,0.1414,62100,0.83542537689209
00210500,University of Maryland-Baltimore County,MD,19,11012,1209,0.2695,53500,0.73987799882888
00210300,University of Maryland-College Park,MD,19,26045,1310,0.1907,59100,0.79620337486267
00208000,Maryland Institute College of Art,MD,19,1892,1175,0.2429,31400,0.51119405031204
00210600,University of Maryland Eastern Shore,MD,19,3421,871,0.5506,37800,0.49579831957817
00208300,Morgan State University,MD,19,6197,893,0.6152,39700,0.564781665802
00208600,Mount St Mary's University,MD,19,1729,1060,0.2269,50300,0.76286351680755
00206500,Notre Dame of Maryland University,MD,19,1220,1036,0.3024,48800,0.76845639944076
00209100,Salisbury University,MD,19,7767,1145,0.2209,47300,0.72763758897781
00209500,St Mary's College of Maryland,MD,19,1794,1221,0.152,48200,0.66583544015884
00209900,Towson University,MD,19,18534,1078,0.2498,49500,0.75282526016235
00210700,Stevenson University,MD,19,3923,990,0.303,51400,0.73443454504013
00210800,Washington College,MD,19,1424,1168,0.1488,48300,0.75581395626068
00210900,McDaniel College,MD,19,1662,1105,0.3073,44600,0.72517323493957
00211400,American International College,MA,20,1513,885,0.5027,42400,0.65769803524017
00211500,Amherst College,MA,20,1785,1434,0.1998,56800,0.66346156597137
00212100,Babson College,MA,20,2106,1258,0.1613,85500,0.89434891939163
00212200,Bay Path College,MA,20,1454,964,0.5289,41900,0.68287938833236
00212300,Becker College,MA,20,1871,1006,0.3888,35800,0.67054712772369
00212400,Bentley University,MA,20,4172,1234,0.1554,74900,0.90699589252471
00212800,Boston College,MA,20,9465,1375,0.1371,67000,0.87367862462997
00213000,Boston University,MA,20,16460,1279,0.1487,60600,0.80513751506805
00213300,Brandeis University,MA,20,3603,1347,0.1781,58800,0.6963123679161
00218300,Bridgewater State University,MA,20,9489,991,0.2372,41500,0.6799019575119
00632200,Signature Healthcare Brockton Hospital School of Nursing,MA,20,323,956,0.4335,60900,0.84971100091934
00214300,Curry College,MA,20,2794,931,0.2555,43600,0.68827933073043
00214400,Dean College,MA,20,1238,845,0.292,32700,0.47163119912147
00214500,Eastern Nazarene College,MA,20,1313,954,0.4928,44400,0.60547947883605
